job_id,num_requests,avg_prefix_cache_hit_rate,min_prefix_cache_hit_rate,max_prefix_cache_hit_rate
1,3,0.36530308755500734,0.04152249134948097,0.8880666049953746
10,36,0.3021160719331073,0.0,0.950366151342555
11,7,0.7909573686119706,0.033402922755741124,0.9468405215646941
2,57,0.4537300857974092,0.0,0.9995414012738854
3,13,0.4069749694549523,0.007696007696007696,0.9340338587273789
4,21,0.3545467781083989,0.0056513804674162595,0.9632107023411371
5,21,0.4239214376058766,0.014585232452142206,0.9564336372847011
6,19,0.36114273239526956,0.0,0.9644599303135889
7,17,0.501388113647324,0.006349626298035585,0.9700348432055749
8,6,0.3376477023990741,0.0,0.9430569430569431
9,18,0.3667628266911349,0.006150691952844695,0.9727867723045126
