request_id,job_id,finish_reason,e2e_latency,num_prompt_tokens,num_generation_tokens,num_cached_tokens,prefix_cache_hit_rate,queued_time,prefill_time,inference_time,decode_time,max_tokens_param
chatcmpl-de8c6807d74f4fe88c39b3d42e40595a,2,stop,5.697457313537598,441,90,80,0.18140589569160998,0.019883774919435382,2.5155331380665302,5.154011071892455,2.638477933825925,10000
chatcmpl-0ae87144e3804f4f922c9ee8f38a38be,6,stop,6.8406665325164795,501,107,80,0.1596806387225549,0.03235343494452536,2.5155331380665302,6.2876848969608545,3.7721517588943243,10000
chatcmpl-a42bec3026f84d72b29e3cfea2993799,4,stop,7.042845249176025,460,112,80,0.17391304347826086,0.017475398955866694,2.5155331380665302,6.50008385698311,3.98455071891658,10000
chatcmpl-7690d11992d348e5abe36826a161124b,1,stop,7.195026159286499,481,115,80,0.16632016632016633,0.025588917080312967,2.5155331380665302,6.64489112701267,4.12935798894614,10000
chatcmpl-16571af6f0f045f9a67b792ad14cf36c,10,stop,7.454932689666748,448,122,0,0.0,0.017341685015708208,2.5155331380665302,6.913903386099264,4.398370248032734,10000
chatcmpl-fb1f64fb212e43f3b52edad3a947ccfb,3,stop,7.661669015884399,479,126,80,0.16701461377870563,0.023423772072419524,2.5155331380665302,7.1122664550784975,4.596733317011967,10000
chatcmpl-61d18842367c435b852b48ff57ffffda,5,stop,7.86539888381958,470,130,80,0.1702127659574468,0.02810840797610581,2.5155331380665302,7.313870988087729,4.798337850021198,10000
chatcmpl-1e1a12e264c04239af5e21827fe4d2a3,7,stop,8.58607530593872,495,152,80,0.16161616161616163,0.0174072349909693,2.5155331380665302,8.044076832011342,5.528543693944812,10000
chatcmpl-23832364b1c140bcac89938b559d6264,9,stop,9.51377010345459,473,180,80,0.16913319238900634,0.026785558089613914,2.5155331380665302,8.962789443088695,6.447256305022165,10000
chatcmpl-f4bd59e4cdfd4be5ba148f2add89bd5c,8,stop,9.787058115005493,556,186,80,0.14388489208633093,0.019957097014412284,2.5155331380665302,9.24274246301502,6.72720932494849,10000
chatcmpl-9522810aa1d74693af33f719d8a2168d,2,stop,5.2095348834991455,1053,130,0,0.0,3.4371158108115196e-05,0.6623928470071405,5.205083406995982,4.542690559988841,10000
chatcmpl-35c82ea468994fc1b8abd7f1b3de297d,6,stop,4.147819519042969,1070,115,960,0.897196261682243,3.364798612892628e-05,0.09306480991654098,4.1304210929665715,4.0373562830500305,10000
chatcmpl-f077cbb8881d4f69af277f3f2e5bf6c0,4,stop,4.0576863288879395,1076,111,960,0.8921933085501859,3.384193405508995e-05,0.08598306798376143,4.032715929904953,3.946732861921191,10000
chatcmpl-688f9d532d214ace9f3a293ae1a49bb2,10,stop,4.175413370132446,1085,115,960,0.8847926267281107,3.597605973482132e-05,0.10802627401426435,4.1480457310099155,4.040019456995651,10000
chatcmpl-22311a814c2843bf932b4ff3bc0851a1,1,stop,4.474633455276489,1076,123,960,0.8921933085501859,3.4662894904613495e-05,0.08719080616720021,4.445722809992731,4.35853200382553,10000
chatcmpl-8fe285309a424588900e1eb97d094b5b,5,stop,4.6191699504852295,1093,130,960,0.8783165599268069,3.4436117857694626e-05,0.110225650947541,4.591656225034967,4.481430574087426,10000
chatcmpl-f4c9f4d706744a28a1aeb077fbb3dadc,4,stop,1.7215495109558105,1299,46,1184,0.9114703618167821,3.5766977816820145e-05,0.0878770500421524,1.6709919029381126,1.5831148528959602,10000
chatcmpl-9e86d1117fae4d2786c05fde6b13a2b2,3,stop,6.0793070793151855,1089,152,960,0.8815426997245179,3.6624958738684654e-05,0.11076202103868127,6.049769235076383,5.9390072140377015,10000
chatcmpl-59d12976716f4123bcff59c76e7b3c44,5,stop,2.344067335128784,1354,50,1216,0.8980797636632201,3.6967918276786804e-05,0.11574291298165917,2.314576311968267,2.198833398986608,10000
chatcmpl-9c2f5902c59c4058bc9983ae71bf7149,9,stop,5.632117033004761,1143,141,960,0.8398950131233596,3.624800592660904e-05,0.12833421491086483,5.612561617977917,5.484227403067052,10000
