job_id,num_requests,avg_prefix_cache_hit_rate,min_prefix_cache_hit_rate,max_prefix_cache_hit_rate
1,31,0.2873892940165462,0.0056123940368313354,0.9496981891348089
10,23,0.2672944323625698,0.0,0.9496981891348089
2,14,0.302226839226629,0.0,0.9535353535353536
3,35,0.2844094259346565,0.00583373845405931,0.9574036511156186
4,9,0.2791821803709895,0.0,0.9114703618167821
5,10,0.36287503921781683,0.015194681861348529,0.9583756345177665
6,15,0.34293207691606903,0.013828867761452032,0.9468405215646941
7,27,0.3471306207005809,0.0,0.9309664694280079
8,25,0.2522527140722039,0.0,0.9421157684630739
9,19,0.31899143409377506,0.008723307587460245,0.8976157082748948
