request_id,job_id,finish_reason,e2e_latency,num_prompt_tokens,num_generation_tokens,num_cached_tokens,prefix_cache_hit_rate,queued_time,prefill_time,inference_time,decode_time,max_tokens_param
chatcmpl-152aeed286b943a7af61b08580ce251f,8,stop,5.7922399044036865,441,91,80,0.18140589569160998,0.35549094690941274,2.154770349152386,4.814350895117968,2.659580545965582,10000
chatcmpl-80de6c2e752248ca893f191cb0dd9d3f,6,stop,6.868148565292358,501,106,80,0.1596806387225549,0.3584497128613293,2.154770349152386,5.889575812034309,3.7348054628819227,10000
chatcmpl-ef56f893072a4c678f5b6de9cee59fcb,1,stop,7.289567947387695,481,118,80,0.16632016632016633,0.3605725660454482,2.154770349152386,6.30967026297003,4.154899913817644,10000
chatcmpl-6a4578d780c6492da4f00a0bc9d1c918,10,stop,7.633803844451904,448,128,0,0.0,0.015577038982883096,0.339391770074144,6.997994831996039,6.6586030619218946,10000
chatcmpl-6a2daa8d3a024b2a9a96aef734f0b57b,9,stop,7.9288976192474365,473,134,80,0.16913319238900634,0.35541647183708847,2.154770349152386,6.951634658034891,4.796864308882505,10000
chatcmpl-e2392abeb6d3414f93bfb9d8f41ce5fb,7,stop,8.286329984664917,556,143,80,0.14388489208633093,0.36222328804433346,2.154770349152386,7.305781756993383,5.151011407840997,10000
chatcmpl-36c722bf034f4de8b8d8928b36711487,4,stop,8.464752674102783,470,146,80,0.1702127659574468,0.3603783689904958,2.154770349152386,7.4853951199911535,5.330624770838767,10000
chatcmpl-1e6d33be2fbc4f048735b7b66ce69dce,2,stop,8.638845920562744,495,149,80,0.16161616161616163,0.35519217303954065,2.154770349152386,7.6629710220731795,5.508200672920793,10000
chatcmpl-d147fd645fa04a05b1f4a923135b17f6,5,stop,8.997936248779297,460,158,80,0.17391304347826086,0.35535689489915967,2.154770349152386,8.021249794168398,5.866479445016012,10000
chatcmpl-211d9364b1ef4ca0a7e8429b766b6d66,3,stop,9.33802080154419,479,166,80,0.16701461377870563,0.3651352960150689,2.154770349152386,8.355531899025664,6.2007615498732775,10000
chatcmpl-9e9afb3ed95c48a8a110b0e403580a33,8,stop,5.54538106918335,1054,139,0,0.0,3.70880588889122e-05,0.6612448380328715,5.522174970945343,4.860930132912472,10000
chatcmpl-cd371de2aa80486bbee214f6ddc44567,6,stop,4.8818957805633545,1067,135,960,0.8997188378631678,3.4147175028920174e-05,0.09363187779672444,4.8612289789598435,4.767597101163119,10000
chatcmpl-41eeed6e2e3643fd984799bd2f490d4d,10,stop,4.509270668029785,1091,124,960,0.8799266727772685,3.279396332800388e-05,0.11183837009593844,4.482682435074821,4.370844064978883,10000
chatcmpl-7d8e50e92fbd40cdba37ad742ffbec77,9,stop,4.851351261138916,1097,136,960,0.8751139471285324,3.424379974603653e-05,0.11626149318180978,4.8457311352249235,4.729469642043114,10000
chatcmpl-0138b2fdea0840ce959ea1521aaa3cda,3,stop,4.952300071716309,1129,151,960,0.8503100088573959,4.211999475955963e-05,0.12610062211751938,4.920742836082354,4.794642213964835,10000
chatcmpl-cbd0bfcc3cd84fdbb442a4207d606dc5,5,stop,5.651230096817017,1122,169,960,0.8556149732620321,3.508199006319046e-05,0.1245001230854541,5.6472241000737995,5.522723976988345,10000
chatcmpl-a465ad6cb84c4cf0b20dae92264d7c1e,4,stop,6.529578685760498,1109,188,960,0.8656447249774571,3.443402238190174e-05,0.11750692501664162,6.498334245057777,6.380827320041135,10000
chatcmpl-0c8f0d5911e749909023fe461e3917dc,7,stop,6.955376148223877,1104,196,960,0.8695652173913043,3.4294091165065765e-05,0.11767995194531977,6.9504058519378304,6.832725899992511,10000
chatcmpl-eee077e702bb42888071f0f4615d8386,2,stop,7.342101812362671,1110,210,960,0.8648648648648649,3.4427037462592125e-05,0.11824103095568717,7.309092986164615,7.190851955208927,10000
chatcmpl-7b80935965cf4461a5f77cdcc88ad81b,8,stop,4.9126176834106445,1333,133,1184,0.8882220555138785,3.870180808007717e-05,0.11887358501553535,4.896714025177062,4.777840440161526,10000
chatcmpl-229aca8420014a85ba46f019224c1f88,6,stop,5.329364538192749,1338,128,1200,0.8968609865470852,3.6017969250679016e-05,0.12063632812350988,5.2967765459325165,5.176140217809007,10000
chatcmpl-fc5c476eb59045ec84598f07c6f6658f,5,stop,2.77789568901062,1453,52,1280,0.88093599449415,3.705197013914585e-05,0.13485874282196164,2.7458076959010214,2.6109489530790597,10000
chatcmpl-a4c6d398fbe648dd85b9373561cdae7f,9,stop,4.944169044494629,1366,118,1232,0.9019033674963397,3.682100214064121e-05,0.11545261181890965,4.9193718689493835,4.803919257130474,10000
chatcmpl-8a8695b312d84ec59ca2f8b6f34c7267,7,stop,3.135441780090332,1491,68,1296,0.869215291750503,3.972719423472881e-05,0.15692765498533845,3.1122250859625638,2.9552974309772253,10000
chatcmpl-71e346a7506b40f0905c4ba1e4d85ecc,6,stop,1.7926137447357178,1002,51,944,0.9421157684630739,9.542610496282578e-05,0.0950811798684299,1.764527517836541,1.669446337968111,10000
chatcmpl-76fecedea46e4ecba720d74771a84023,6,stop,1.9669218063354492,996,57,944,0.9477911646586346,3.7949997931718826e-05,0.0950811798684299,1.945488072000444,1.850406892132014,10000
chatcmpl-1a017fe608ce481299de0a2b9e0d7a3b,5,stop,1.7821238040924072,987,53,944,0.9564336372847011,4.260009154677391e-05,0.05787417106330395,1.7568712420761585,1.6989970710128546,10000
chatcmpl-9ac20d8011d6420b8e9ae36bebcea8cb,9,stop,2.1624319553375244,1053,67,944,0.8964862298195632,4.274211823940277e-05,0.09882769803516567,2.1341697978787124,2.0353420998435467,10000
chatcmpl-647b2a9df8f141628bf68c94fb81a515,3,stop,5.838397026062012,1426,147,1264,0.8863955119214586,4.282686859369278e-05,0.1277199040632695,5.814993008971214,5.687273104907945,10000
chatcmpl-fccbafc006e3411fbedbba12a3846c86,8,stop,3.9798972606658936,1002,102,0,0.0,9.722798131406307e-05,0.6635384759865701,3.9701931739691645,3.3066546979825944,10000
chatcmpl-2a7d1e2729704813a9552bb3dd8176ac,4,stop,5.359535217285156,1483,135,1296,0.8739042481456507,3.919517621397972e-05,0.15108461491763592,5.334141349885613,5.183056734967977,10000
chatcmpl-8f75586d5f644cf9bd6feaaeac3230f5,7,stop,2.8762855529785156,1003,66,944,0.9411764705882353,4.5140041038393974e-05,0.07698471588082612,2.8599590088706464,2.7829742929898202,10000
chatcmpl-d316b4301a614306a9c0dd62a9233bfb,1,stop,14.261669158935547,1081,367,960,0.8880666049953746,3.5607023164629936e-05,0.10718423291109502,14.243089606054127,14.135905373143032,10000
